MAE,RMSE,R2
433320284519101.8,4090934704258533.0,-5.711568111158089e+18
277518.1054517566,803956.3448944297,0.779415395088594
266474.2523708706,770586.7949011757,0.797346835558657
227210.92424242425,869710.6310018938,0.7418573154415118
171660.6360994709,663951.5552900642,0.8495531670639259
268349.7060518603,700248.7805105264,0.8326541344935802
